gene_id	protein_id	ugo_protein_id	species	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
LOC104896534	Beta_vulgaris|gene=LOC104896534|len=158|source=XP_010681593.1	UGOseq_000011949	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896541	Beta_vulgaris|gene=LOC104896541|len=1118|source=XP_010681601.1	UGOseq_000011955	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896616	Beta_vulgaris|gene=LOC104896616|len=1160|source=XP_010681687.1	UGOseq_000012015	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896731	Beta_vulgaris|gene=LOC104896731|len=322|source=XP_010681824.1	UGOseq_000012105	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896776	Beta_vulgaris|gene=LOC104896776|len=142|source=XP_010681871.1	UGOseq_000012143	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896777	Beta_vulgaris|gene=LOC104896777|len=217|source=XP_010681872.1	UGOseq_000012144	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104896909	Beta_vulgaris|gene=LOC104896909|len=296|source=XP_010681998.1	UGOseq_000012238	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104897312	Beta_vulgaris|gene=LOC104897312|len=1112|source=XP_010682474.1	UGOseq_000012576	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104897316	Beta_vulgaris|gene=LOC104897316|len=1192|source=XP_010682478.1	UGOseq_000012580	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104897344	Beta_vulgaris|gene=LOC104897344|len=307|source=XP_010682505.1	UGOseq_000012602	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104897699	Beta_vulgaris|gene=LOC104897699|len=326|source=XP_010682938.1	UGOseq_000012930	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104897703	Beta_vulgaris|gene=LOC104897703|len=386|source=XP_010682942.1	UGOseq_000012934	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104897876	Beta_vulgaris|gene=LOC104897876|len=274|source=XP_010683140.1	UGOseq_000013092	Beta_vulgaris	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104898070	Beta_vulgaris|gene=LOC104898070|len=226|source=XP_010683378.1	UGOseq_000013274	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104898091	Beta_vulgaris|gene=LOC104898091|len=957|source=XP_010683403.1	UGOseq_000013294	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104898566	Beta_vulgaris|gene=LOC104898566|len=819|source=XP_019106321.1	UGOseq_000013723	Beta_vulgaris	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
LOC104898717	Beta_vulgaris|gene=LOC104898717|len=520|source=XP_010684120.1	UGOseq_000013851	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104898724	Beta_vulgaris|gene=LOC104898724|len=706|source=XP_010684129.2	UGOseq_000013858	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104898818	Beta_vulgaris|gene=LOC104898818|len=454|source=XP_010684227.1	UGOseq_000013937	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104898890	Beta_vulgaris|gene=LOC104898890|len=413|source=XP_010684321.1	UGOseq_000014000	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104899127	Beta_vulgaris|gene=LOC104899127|len=351|source=XP_010684565.1	UGOseq_000014179	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104899139	Beta_vulgaris|gene=LOC104899139|len=427|source=XP_019106222.1	UGOseq_000014188	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104899272	Beta_vulgaris|gene=LOC104899272|len=303|source=XP_010684738.1	UGOseq_000014301	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104899484	Beta_vulgaris|gene=LOC104899484|len=317|source=XP_010684983.1	UGOseq_000014476	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104899802	Beta_vulgaris|gene=LOC104899802|len=382|source=XP_010685376.1	UGOseq_000014760	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104901040	Beta_vulgaris|gene=LOC104901040|len=439|source=XP_010686885.1	UGOseq_000015916	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104901340	Beta_vulgaris|gene=LOC104901340|len=1342|source=XP_010687204.1	UGOseq_000016147	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104901378	Beta_vulgaris|gene=LOC104901378|len=825|source=XP_010687249.1	UGOseq_000016176	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104903276	Beta_vulgaris|gene=LOC104903276|len=251|source=XP_010689595.1	UGOseq_000017867	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104903323	Beta_vulgaris|gene=LOC104903323|len=455|source=XP_010689642.1	UGOseq_000017902	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104903517	Beta_vulgaris|gene=LOC104903517|len=208|source=XP_010689860.1	UGOseq_000018067	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104904197	Beta_vulgaris|gene=LOC104904197|len=701|source=XP_010690696.1	UGOseq_000018673	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905012	Beta_vulgaris|gene=LOC104905012|len=831|source=XP_010691755.1	UGOseq_000019439	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905555	Beta_vulgaris|gene=LOC104905555|len=1634|source=XP_010692445.1	UGOseq_000019935	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905583	Beta_vulgaris|gene=LOC104905583|len=280|source=XP_010692473.1	UGOseq_000019957	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905603	Beta_vulgaris|gene=LOC104905603|len=1364|source=XP_010692491.1	UGOseq_000019973	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905680	Beta_vulgaris|gene=LOC104905680|len=481|source=XP_010692583.1	UGOseq_000020039	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905704	Beta_vulgaris|gene=LOC104905704|len=1052|source=XP_010692615.1	UGOseq_000020060	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905753	Beta_vulgaris|gene=LOC104905753|len=179|source=XP_010692676.1	UGOseq_000020103	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905754	Beta_vulgaris|gene=LOC104905754|len=965|source=XP_010692677.1	UGOseq_000020104	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104905756	Beta_vulgaris|gene=LOC104905756|len=577|source=XP_010692680.1	UGOseq_000020106	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104905807	Beta_vulgaris|gene=LOC104905807|len=983|source=XP_010692745.1	UGOseq_000020148	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104906039	Beta_vulgaris|gene=LOC104906039|len=444|source=XP_010693038.1	UGOseq_000020344	Beta_vulgaris	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
LOC104906154	Beta_vulgaris|gene=LOC104906154|len=1258|source=XP_010693172.1	UGOseq_000020447	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104906395	Beta_vulgaris|gene=LOC104906395|len=832|source=XP_010693438.1	UGOseq_000020653	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104906813	Beta_vulgaris|gene=LOC104906813|len=307|source=XP_010693932.1	UGOseq_000021033	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104906865	Beta_vulgaris|gene=LOC104906865|len=243|source=XP_010693996.1	UGOseq_000021078	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104906894	Beta_vulgaris|gene=LOC104906894|len=455|source=XP_010694026.1	UGOseq_000021098	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104906953	Beta_vulgaris|gene=LOC104906953|len=355|source=XP_010694098.1	UGOseq_000021148	Beta_vulgaris	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC104907012	Beta_vulgaris|gene=LOC104907012|len=393|source=XP_010694162.1	UGOseq_000021198	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104907261	Beta_vulgaris|gene=LOC104907261|len=367|source=XP_010694468.1	UGOseq_000021425	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907438	Beta_vulgaris|gene=LOC104907438|len=1322|source=XP_010694673.1	UGOseq_000021571	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907518	Beta_vulgaris|gene=LOC104907518|len=832|source=XP_010694760.1	UGOseq_000021638	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907555	Beta_vulgaris|gene=LOC104907555|len=130|source=XP_010694799.1	UGOseq_000021668	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104907631	Beta_vulgaris|gene=LOC104907631|len=1460|source=XP_010694891.1	UGOseq_000021731	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907635	Beta_vulgaris|gene=LOC104907635|len=1410|source=XP_010694896.1	UGOseq_000021735	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907665	Beta_vulgaris|gene=LOC104907665|len=944|source=XP_010694927.1	UGOseq_000021760	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907808	Beta_vulgaris|gene=LOC104907808|len=346|source=XP_010695105.1	UGOseq_000021885	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907871	Beta_vulgaris|gene=LOC104907871|len=465|source=XP_010695190.1	UGOseq_000021944	Beta_vulgaris	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104907929	Beta_vulgaris|gene=LOC104907929|len=358|source=XP_010695260.1	UGOseq_000021998	Beta_vulgaris	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC104907939	Beta_vulgaris|gene=LOC104907939|len=1281|source=XP_010695270.1	UGOseq_000022007	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104908184	Beta_vulgaris|gene=LOC104908184|len=1376|source=XP_010695571.1	UGOseq_000022223	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104908655	Beta_vulgaris|gene=LOC104908655|len=193|source=XP_010696094.1	UGOseq_000022625	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104908858	Beta_vulgaris|gene=LOC104908858|len=870|source=XP_010696325.1	UGOseq_000022810	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104908940	Beta_vulgaris|gene=LOC104908940|len=311|source=XP_010696412.1	UGOseq_000022876	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104908979	Beta_vulgaris|gene=LOC104908979|len=337|source=XP_010696454.1	UGOseq_000022905	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104908982	Beta_vulgaris|gene=LOC104908982|len=453|source=XP_010696456.1	UGOseq_000022908	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109133557	Beta_vulgaris|gene=LOC109133557|len=318|source=XP_019107435.1	UGOseq_000023076	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109133640	Beta_vulgaris|gene=LOC109133640|len=299|source=XP_019102751.1	UGOseq_000023106	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109133715	Beta_vulgaris|gene=LOC109133715|len=361|source=XP_019102954.1	UGOseq_000023150	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109133881	Beta_vulgaris|gene=LOC109133881|len=471|source=XP_019103324.1	UGOseq_000023245	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109133921	Beta_vulgaris|gene=LOC109133921|len=629|source=XP_019103379.1	UGOseq_000023269	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109134289	Beta_vulgaris|gene=LOC109134289|len=295|source=XP_019103425.1	UGOseq_000023299	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109134292	Beta_vulgaris|gene=LOC109134292|len=382|source=XP_019103427.1	UGOseq_000023301	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
