ugo_protein_id	search_database_header	species	gene_id	protein_id	raw_input_header	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
UGOseq_000013723	UGOseq_000013723|species=Beta_vulgaris|gene=LOC104898566|protein=Beta_vulgaris|gene=LOC104898566|len=819|source=XP_019106321.1|orthogroup=OG0004958	Beta_vulgaris	LOC104898566	Beta_vulgaris|gene=LOC104898566|len=819|source=XP_019106321.1	Beta_vulgaris|gene=LOC104898566|len=819|source=XP_019106321.1 PREDICTED: ent-copalyl diphosphate synthase, chloroplastic isoform X1 [Beta vulgaris subsp. vulgaris]	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
UGOseq_000013851	UGOseq_000013851|species=Beta_vulgaris|gene=LOC104898717|protein=Beta_vulgaris|gene=LOC104898717|len=520|source=XP_010684120.1|orthogroup=OG0000139	Beta_vulgaris	LOC104898717	Beta_vulgaris|gene=LOC104898717|len=520|source=XP_010684120.1	Beta_vulgaris|gene=LOC104898717|len=520|source=XP_010684120.1 PREDICTED: uncharacterized protein LOC104898717 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000013858	UGOseq_000013858|species=Beta_vulgaris|gene=LOC104898724|protein=Beta_vulgaris|gene=LOC104898724|len=706|source=XP_010684129.2|orthogroup=OG0000139	Beta_vulgaris	LOC104898724	Beta_vulgaris|gene=LOC104898724|len=706|source=XP_010684129.2	Beta_vulgaris|gene=LOC104898724|len=706|source=XP_010684129.2 PREDICTED: uncharacterized protein LOC104898724 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000013937	UGOseq_000013937|species=Beta_vulgaris|gene=LOC104898818|protein=Beta_vulgaris|gene=LOC104898818|len=454|source=XP_010684227.1|orthogroup=OG0000139	Beta_vulgaris	LOC104898818	Beta_vulgaris|gene=LOC104898818|len=454|source=XP_010684227.1	Beta_vulgaris|gene=LOC104898818|len=454|source=XP_010684227.1 PREDICTED: uncharacterized protein LOC104898818 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000014000	UGOseq_000014000|species=Beta_vulgaris|gene=LOC104898890|protein=Beta_vulgaris|gene=LOC104898890|len=413|source=XP_010684321.1|orthogroup=OG0000154	Beta_vulgaris	LOC104898890	Beta_vulgaris|gene=LOC104898890|len=413|source=XP_010684321.1	Beta_vulgaris|gene=LOC104898890|len=413|source=XP_010684321.1 PREDICTED: uncharacterized protein LOC104898890 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000014179	UGOseq_000014179|species=Beta_vulgaris|gene=LOC104899127|protein=Beta_vulgaris|gene=LOC104899127|len=351|source=XP_010684565.1|orthogroup=OG0000154	Beta_vulgaris	LOC104899127	Beta_vulgaris|gene=LOC104899127|len=351|source=XP_010684565.1	Beta_vulgaris|gene=LOC104899127|len=351|source=XP_010684565.1 PREDICTED: uncharacterized protein LOC104899127 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000014188	UGOseq_000014188|species=Beta_vulgaris|gene=LOC104899139|protein=Beta_vulgaris|gene=LOC104899139|len=427|source=XP_019106222.1|orthogroup=OG0000154	Beta_vulgaris	LOC104899139	Beta_vulgaris|gene=LOC104899139|len=427|source=XP_019106222.1	Beta_vulgaris|gene=LOC104899139|len=427|source=XP_019106222.1 PREDICTED: uncharacterized protein LOC104899139 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000014301	UGOseq_000014301|species=Beta_vulgaris|gene=LOC104899272|protein=Beta_vulgaris|gene=LOC104899272|len=303|source=XP_010684738.1|orthogroup=OG0000139	Beta_vulgaris	LOC104899272	Beta_vulgaris|gene=LOC104899272|len=303|source=XP_010684738.1	Beta_vulgaris|gene=LOC104899272|len=303|source=XP_010684738.1 PREDICTED: uncharacterized protein LOC104899272 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000014476	UGOseq_000014476|species=Beta_vulgaris|gene=LOC104899484|protein=Beta_vulgaris|gene=LOC104899484|len=317|source=XP_010684983.1|orthogroup=OG0000154	Beta_vulgaris	LOC104899484	Beta_vulgaris|gene=LOC104899484|len=317|source=XP_010684983.1	Beta_vulgaris|gene=LOC104899484|len=317|source=XP_010684983.1 PREDICTED: uncharacterized protein LOC104899484 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000014760	UGOseq_000014760|species=Beta_vulgaris|gene=LOC104899802|protein=Beta_vulgaris|gene=LOC104899802|len=382|source=XP_010685376.1|orthogroup=OG0000154	Beta_vulgaris	LOC104899802	Beta_vulgaris|gene=LOC104899802|len=382|source=XP_010685376.1	Beta_vulgaris|gene=LOC104899802|len=382|source=XP_010685376.1 PREDICTED: uncharacterized protein LOC104899802 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000015916	UGOseq_000015916|species=Beta_vulgaris|gene=LOC104901040|protein=Beta_vulgaris|gene=LOC104901040|len=439|source=XP_010686885.1|orthogroup=OG0000154	Beta_vulgaris	LOC104901040	Beta_vulgaris|gene=LOC104901040|len=439|source=XP_010686885.1	Beta_vulgaris|gene=LOC104901040|len=439|source=XP_010686885.1 PREDICTED: uncharacterized protein LOC104901040 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000016147	UGOseq_000016147|species=Beta_vulgaris|gene=LOC104901340|protein=Beta_vulgaris|gene=LOC104901340|len=1342|source=XP_010687204.1|orthogroup=OG0000139	Beta_vulgaris	LOC104901340	Beta_vulgaris|gene=LOC104901340|len=1342|source=XP_010687204.1	Beta_vulgaris|gene=LOC104901340|len=1342|source=XP_010687204.1 PREDICTED: uncharacterized protein LOC104901340 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000016176	UGOseq_000016176|species=Beta_vulgaris|gene=LOC104901378|protein=Beta_vulgaris|gene=LOC104901378|len=825|source=XP_010687249.1|orthogroup=OG0000139	Beta_vulgaris	LOC104901378	Beta_vulgaris|gene=LOC104901378|len=825|source=XP_010687249.1	Beta_vulgaris|gene=LOC104901378|len=825|source=XP_010687249.1 PREDICTED: uncharacterized protein LOC104901378 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000017867	UGOseq_000017867|species=Beta_vulgaris|gene=LOC104903276|protein=Beta_vulgaris|gene=LOC104903276|len=251|source=XP_010689595.1|orthogroup=OG0000139	Beta_vulgaris	LOC104903276	Beta_vulgaris|gene=LOC104903276|len=251|source=XP_010689595.1	Beta_vulgaris|gene=LOC104903276|len=251|source=XP_010689595.1 PREDICTED: uncharacterized protein LOC104903276 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000017902	UGOseq_000017902|species=Beta_vulgaris|gene=LOC104903323|protein=Beta_vulgaris|gene=LOC104903323|len=455|source=XP_010689642.1|orthogroup=OG0000154	Beta_vulgaris	LOC104903323	Beta_vulgaris|gene=LOC104903323|len=455|source=XP_010689642.1	Beta_vulgaris|gene=LOC104903323|len=455|source=XP_010689642.1 PREDICTED: uncharacterized protein LOC104903323 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000018067	UGOseq_000018067|species=Beta_vulgaris|gene=LOC104903517|protein=Beta_vulgaris|gene=LOC104903517|len=208|source=XP_010689860.1|orthogroup=OG0000139	Beta_vulgaris	LOC104903517	Beta_vulgaris|gene=LOC104903517|len=208|source=XP_010689860.1	Beta_vulgaris|gene=LOC104903517|len=208|source=XP_010689860.1 PREDICTED: uncharacterized protein LOC104903517 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000018673	UGOseq_000018673|species=Beta_vulgaris|gene=LOC104904197|protein=Beta_vulgaris|gene=LOC104904197|len=701|source=XP_010690696.1|orthogroup=OG0000139	Beta_vulgaris	LOC104904197	Beta_vulgaris|gene=LOC104904197|len=701|source=XP_010690696.1	Beta_vulgaris|gene=LOC104904197|len=701|source=XP_010690696.1 PREDICTED: uncharacterized protein LOC104904197 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000019439	UGOseq_000019439|species=Beta_vulgaris|gene=LOC104905012|protein=Beta_vulgaris|gene=LOC104905012|len=831|source=XP_010691755.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905012	Beta_vulgaris|gene=LOC104905012|len=831|source=XP_010691755.1	Beta_vulgaris|gene=LOC104905012|len=831|source=XP_010691755.1 PREDICTED: uncharacterized protein LOC104905012 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000019935	UGOseq_000019935|species=Beta_vulgaris|gene=LOC104905555|protein=Beta_vulgaris|gene=LOC104905555|len=1634|source=XP_010692445.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905555	Beta_vulgaris|gene=LOC104905555|len=1634|source=XP_010692445.1	Beta_vulgaris|gene=LOC104905555|len=1634|source=XP_010692445.1 PREDICTED: uncharacterized protein LOC104905555 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000019957	UGOseq_000019957|species=Beta_vulgaris|gene=LOC104905583|protein=Beta_vulgaris|gene=LOC104905583|len=280|source=XP_010692473.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905583	Beta_vulgaris|gene=LOC104905583|len=280|source=XP_010692473.1	Beta_vulgaris|gene=LOC104905583|len=280|source=XP_010692473.1 PREDICTED: uncharacterized protein LOC104905583 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000019973	UGOseq_000019973|species=Beta_vulgaris|gene=LOC104905603|protein=Beta_vulgaris|gene=LOC104905603|len=1364|source=XP_010692491.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905603	Beta_vulgaris|gene=LOC104905603|len=1364|source=XP_010692491.1	Beta_vulgaris|gene=LOC104905603|len=1364|source=XP_010692491.1 PREDICTED: uncharacterized protein LOC104905603 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000020039	UGOseq_000020039|species=Beta_vulgaris|gene=LOC104905680|protein=Beta_vulgaris|gene=LOC104905680|len=481|source=XP_010692583.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905680	Beta_vulgaris|gene=LOC104905680|len=481|source=XP_010692583.1	Beta_vulgaris|gene=LOC104905680|len=481|source=XP_010692583.1 PREDICTED: uncharacterized protein LOC104905680 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000020060	UGOseq_000020060|species=Beta_vulgaris|gene=LOC104905704|protein=Beta_vulgaris|gene=LOC104905704|len=1052|source=XP_010692615.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905704	Beta_vulgaris|gene=LOC104905704|len=1052|source=XP_010692615.1	Beta_vulgaris|gene=LOC104905704|len=1052|source=XP_010692615.1 PREDICTED: uncharacterized protein LOC104905704 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000020103	UGOseq_000020103|species=Beta_vulgaris|gene=LOC104905753|protein=Beta_vulgaris|gene=LOC104905753|len=179|source=XP_010692676.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905753	Beta_vulgaris|gene=LOC104905753|len=179|source=XP_010692676.1	Beta_vulgaris|gene=LOC104905753|len=179|source=XP_010692676.1 PREDICTED: uncharacterized protein LOC104905753 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000020104	UGOseq_000020104|species=Beta_vulgaris|gene=LOC104905754|protein=Beta_vulgaris|gene=LOC104905754|len=965|source=XP_010692677.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905754	Beta_vulgaris|gene=LOC104905754|len=965|source=XP_010692677.1	Beta_vulgaris|gene=LOC104905754|len=965|source=XP_010692677.1 PREDICTED: uncharacterized protein LOC104905754 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000020106	UGOseq_000020106|species=Beta_vulgaris|gene=LOC104905756|protein=Beta_vulgaris|gene=LOC104905756|len=577|source=XP_010692680.1|orthogroup=OG0000154	Beta_vulgaris	LOC104905756	Beta_vulgaris|gene=LOC104905756|len=577|source=XP_010692680.1	Beta_vulgaris|gene=LOC104905756|len=577|source=XP_010692680.1 PREDICTED: uncharacterized protein LOC104905756 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000020148	UGOseq_000020148|species=Beta_vulgaris|gene=LOC104905807|protein=Beta_vulgaris|gene=LOC104905807|len=983|source=XP_010692745.1|orthogroup=OG0000139	Beta_vulgaris	LOC104905807	Beta_vulgaris|gene=LOC104905807|len=983|source=XP_010692745.1	Beta_vulgaris|gene=LOC104905807|len=983|source=XP_010692745.1 PREDICTED: uncharacterized protein LOC104905807 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000020344	UGOseq_000020344|species=Beta_vulgaris|gene=LOC104906039|protein=Beta_vulgaris|gene=LOC104906039|len=444|source=XP_010693038.1|orthogroup=OG0006937	Beta_vulgaris	LOC104906039	Beta_vulgaris|gene=LOC104906039|len=444|source=XP_010693038.1	Beta_vulgaris|gene=LOC104906039|len=444|source=XP_010693038.1 PREDICTED: protein farnesyltransferase subunit beta isoform X1 [Beta vulgaris subsp. vulgaris]	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
UGOseq_000020447	UGOseq_000020447|species=Beta_vulgaris|gene=LOC104906154|protein=Beta_vulgaris|gene=LOC104906154|len=1258|source=XP_010693172.1|orthogroup=OG0000139	Beta_vulgaris	LOC104906154	Beta_vulgaris|gene=LOC104906154|len=1258|source=XP_010693172.1	Beta_vulgaris|gene=LOC104906154|len=1258|source=XP_010693172.1 PREDICTED: uncharacterized protein LOC104906154 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000020653	UGOseq_000020653|species=Beta_vulgaris|gene=LOC104906395|protein=Beta_vulgaris|gene=LOC104906395|len=832|source=XP_010693438.1|orthogroup=OG0000139	Beta_vulgaris	LOC104906395	Beta_vulgaris|gene=LOC104906395|len=832|source=XP_010693438.1	Beta_vulgaris|gene=LOC104906395|len=832|source=XP_010693438.1 PREDICTED: uncharacterized protein LOC104906395 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000021033	UGOseq_000021033|species=Beta_vulgaris|gene=LOC104906813|protein=Beta_vulgaris|gene=LOC104906813|len=307|source=XP_010693932.1|orthogroup=OG0000139	Beta_vulgaris	LOC104906813	Beta_vulgaris|gene=LOC104906813|len=307|source=XP_010693932.1	Beta_vulgaris|gene=LOC104906813|len=307|source=XP_010693932.1 PREDICTED: uncharacterized protein LOC104906813 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000021078	UGOseq_000021078|species=Beta_vulgaris|gene=LOC104906865|protein=Beta_vulgaris|gene=LOC104906865|len=243|source=XP_010693996.1|orthogroup=OG0000154	Beta_vulgaris	LOC104906865	Beta_vulgaris|gene=LOC104906865|len=243|source=XP_010693996.1	Beta_vulgaris|gene=LOC104906865|len=243|source=XP_010693996.1 PREDICTED: uncharacterized protein LOC104906865 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000021098	UGOseq_000021098|species=Beta_vulgaris|gene=LOC104906894|protein=Beta_vulgaris|gene=LOC104906894|len=455|source=XP_010694026.1|orthogroup=OG0000139	Beta_vulgaris	LOC104906894	Beta_vulgaris|gene=LOC104906894|len=455|source=XP_010694026.1	Beta_vulgaris|gene=LOC104906894|len=455|source=XP_010694026.1 PREDICTED: uncharacterized protein LOC104906894 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000021148	UGOseq_000021148|species=Beta_vulgaris|gene=LOC104906953|protein=Beta_vulgaris|gene=LOC104906953|len=355|source=XP_010694098.1|orthogroup=OG0000863	Beta_vulgaris	LOC104906953	Beta_vulgaris|gene=LOC104906953|len=355|source=XP_010694098.1	Beta_vulgaris|gene=LOC104906953|len=355|source=XP_010694098.1 PREDICTED: alpha-1,4-glucan-protein synthase [UDP-forming] 2 [Beta vulgaris subsp. vulgaris]	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000021198	UGOseq_000021198|species=Beta_vulgaris|gene=LOC104907012|protein=Beta_vulgaris|gene=LOC104907012|len=393|source=XP_010694162.1|orthogroup=OG0000154	Beta_vulgaris	LOC104907012	Beta_vulgaris|gene=LOC104907012|len=393|source=XP_010694162.1	Beta_vulgaris|gene=LOC104907012|len=393|source=XP_010694162.1 PREDICTED: uncharacterized protein LOC104907012 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000021425	UGOseq_000021425|species=Beta_vulgaris|gene=LOC104907261|protein=Beta_vulgaris|gene=LOC104907261|len=367|source=XP_010694468.1|orthogroup=OG0000139	Beta_vulgaris	LOC104907261	Beta_vulgaris|gene=LOC104907261|len=367|source=XP_010694468.1	Beta_vulgaris|gene=LOC104907261|len=367|source=XP_010694468.1 PREDICTED: uncharacterized protein LOC104907261 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000021571	UGOseq_000021571|species=Beta_vulgaris|gene=LOC104907438|protein=Beta_vulgaris|gene=LOC104907438|len=1322|source=XP_010694673.1|orthogroup=OG0000139	Beta_vulgaris	LOC104907438	Beta_vulgaris|gene=LOC104907438|len=1322|source=XP_010694673.1	Beta_vulgaris|gene=LOC104907438|len=1322|source=XP_010694673.1 PREDICTED: uncharacterized protein LOC104907438 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000021638	UGOseq_000021638|species=Beta_vulgaris|gene=LOC104907518|protein=Beta_vulgaris|gene=LOC104907518|len=832|source=XP_010694760.1|orthogroup=OG0000139	Beta_vulgaris	LOC104907518	Beta_vulgaris|gene=LOC104907518|len=832|source=XP_010694760.1	Beta_vulgaris|gene=LOC104907518|len=832|source=XP_010694760.1 PREDICTED: uncharacterized protein LOC104907518 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000021668	UGOseq_000021668|species=Beta_vulgaris|gene=LOC104907555|protein=Beta_vulgaris|gene=LOC104907555|len=130|source=XP_010694799.1|orthogroup=OG0000154	Beta_vulgaris	LOC104907555	Beta_vulgaris|gene=LOC104907555|len=130|source=XP_010694799.1	Beta_vulgaris|gene=LOC104907555|len=130|source=XP_010694799.1 PREDICTED: uncharacterized protein LOC104907555 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000021731	UGOseq_000021731|species=Beta_vulgaris|gene=LOC104907631|protein=Beta_vulgaris|gene=LOC104907631|len=1460|source=XP_010694891.1|orthogroup=OG0000139	Beta_vulgaris	LOC104907631	Beta_vulgaris|gene=LOC104907631|len=1460|source=XP_010694891.1	Beta_vulgaris|gene=LOC104907631|len=1460|source=XP_010694891.1 PREDICTED: uncharacterized protein LOC104907631 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
